case_id,activity,timestamp,resource
ORDER_001,Order Received,2024-01-15 08:00:00,System
ORDER_001,Credit Check,2024-01-15 08:45:00,Agent_A
ORDER_001,Inventory Check,2024-01-15 10:30:00,Agent_B
ORDER_001,Invoice Generation,2024-01-15 14:00:00,Agent_A
ORDER_001,Payment Processing,2024-01-15 16:30:00,Agent_C
ORDER_001,Shipment Arranged,2024-01-15 17:00:00,Agent_D
ORDER_001,Order Completed,2024-01-15 17:30:00,System
ORDER_002,Order Received,2024-01-15 09:00:00,System
ORDER_002,Credit Check,2024-01-15 09:20:00,Agent_B
ORDER_002,Inventory Check,2024-01-15 11:00:00,Agent_C
ORDER_002,Invoice Generation,2024-01-15 15:30:00,Agent_A
ORDER_002,Payment Processing,2024-01-15 17:00:00,Agent_C
ORDER_002,Shipment Arranged,2024-01-15 17:45:00,Agent_D
ORDER_002,Order Completed,2024-01-15 18:00:00,System
ORDER_003,Order Received,2024-01-15 10:00:00,System
ORDER_003,Credit Check,2024-01-15 10:15:00,Agent_A
ORDER_003,Inventory Check,2024-01-15 13:00:00,Agent_B
ORDER_003,Invoice Generation,2024-01-15 16:00:00,Agent_A
ORDER_003,Payment Processing,2024-01-16 09:00:00,Agent_C
ORDER_003,Shipment Arranged,2024-01-16 10:00:00,Agent_D
ORDER_003,Order Completed,2024-01-16 10:30:00,System
ORDER_004,Order Received,2024-01-16 08:30:00,System
ORDER_004,Credit Check,2024-01-16 09:00:00,Agent_C
ORDER_004,Inventory Check,2024-01-16 12:00:00,Agent_A
ORDER_004,Invoice Generation,2024-01-16 15:00:00,Agent_B
ORDER_004,Payment Processing,2024-01-16 17:30:00,Agent_C
ORDER_004,Shipment Arranged,2024-01-16 18:00:00,Agent_D
ORDER_004,Order Completed,2024-01-16 18:30:00,System
ORDER_005,Order Received,2024-01-16 09:00:00,System
ORDER_005,Credit Check,2024-01-16 09:30:00,Agent_B
ORDER_005,Inventory Check,2024-01-16 14:00:00,Agent_C
ORDER_005,Invoice Generation,2024-01-17 09:00:00,Agent_A
ORDER_005,Payment Processing,2024-01-17 11:00:00,Agent_C
ORDER_005,Shipment Arranged,2024-01-17 11:45:00,Agent_D
ORDER_005,Order Completed,2024-01-17 12:00:00,System
ORDER_006,Order Received,2024-01-17 08:00:00,System
ORDER_006,Credit Check,2024-01-17 08:10:00,Agent_A
ORDER_006,Inventory Check,2024-01-17 11:00:00,Agent_B
ORDER_006,Invoice Generation,2024-01-17 16:00:00,Agent_A
ORDER_006,Payment Processing,2024-01-17 17:00:00,Agent_C
ORDER_006,Shipment Arranged,2024-01-17 17:30:00,Agent_D
ORDER_006,Order Completed,2024-01-17 18:00:00,System
ORDER_007,Order Received,2024-01-17 10:00:00,System
ORDER_007,Credit Check,2024-01-17 10:30:00,Agent_C
ORDER_007,Inventory Check,2024-01-17 13:30:00,Agent_A
ORDER_007,Invoice Generation,2024-01-18 09:00:00,Agent_B
ORDER_007,Payment Processing,2024-01-18 11:30:00,Agent_C
ORDER_007,Shipment Arranged,2024-01-18 12:00:00,Agent_D
ORDER_007,Order Completed,2024-01-18 12:30:00,System
ORDER_008,Order Received,2024-01-18 08:00:00,System
ORDER_008,Credit Check,2024-01-18 08:50:00,Agent_B
ORDER_008,Inventory Check,2024-01-18 12:00:00,Agent_C
ORDER_008,Invoice Generation,2024-01-18 15:00:00,Agent_A
ORDER_008,Payment Processing,2024-01-18 17:00:00,Agent_C
ORDER_008,Shipment Arranged,2024-01-18 17:30:00,Agent_D
ORDER_008,Order Completed,2024-01-18 18:00:00,System
ORDER_009,Order Received,2024-01-19 09:00:00,System
ORDER_009,Credit Check,2024-01-19 09:20:00,Agent_A
ORDER_009,Inventory Check,2024-01-19 14:00:00,Agent_B
ORDER_009,Invoice Generation,2024-01-20 09:00:00,Agent_A
ORDER_009,Payment Processing,2024-01-20 12:00:00,Agent_C
ORDER_009,Shipment Arranged,2024-01-20 12:30:00,Agent_D
ORDER_009,Order Completed,2024-01-20 13:00:00,System
ORDER_010,Order Received,2024-01-20 08:00:00,System
ORDER_010,Credit Check,2024-01-20 08:30:00,Agent_C
ORDER_010,Inventory Check,2024-01-20 11:30:00,Agent_A
ORDER_010,Invoice Generation,2024-01-20 16:00:00,Agent_B
ORDER_010,Payment Processing,2024-01-20 18:00:00,Agent_C
ORDER_010,Shipment Arranged,2024-01-20 18:30:00,Agent_D
ORDER_010,Order Completed,2024-01-20 19:00:00,System
